Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
Manufacturing,17,1599599.89,22,7.61,11,Agile,Senior,1,5,3.92,Initiation,Volatile,0.33,0.64,0,7.62,High,Familiar,3,High,0.0,1.26,Weak,Internal,0.04,5.81,0.67,Medium,0.9,0,0.71,0.0,Senior PM,Optimizing,High,Excellent,Cost-Plus,Low,Extreme,Strategic,Advanced,Formal,Fully Remote,Excellent,1,1,1.0,Medium
Construction,38,2160046.74,27,5.61,15,Waterfall,Expert,1,1,1.65,Initiation,Moderate,0.13,0.94,2,6.2,Medium,New,5,High,0.0,0.8,Weak,Mixed,0.16,4.15,0.98,Critical,1.08,4,0.6,0.0,Certified PM,Managed,High,Excellent,Hybrid,Medium,Moderate,Regular,Formal,Formal,Fully Remote,Good,1,9,1.0,Low
Construction,18,1223709.0,16,5.18,14,Hybrid,Senior,6,2,0.68,Monitoring,Volatile,0.21,0.88,2,5.2,Low,Expert,4,Low,0.0,0.81,Moderate,Government,0.58,7.36,0.32,Low,1.54,4,0.95,0.0,Senior PM,Managed,Strict,Poor,Cost-Plus,Medium,Moderate,Occasional,Basic,Basic,Partially Colocated,Good,1,1,1.0,High
Construction,30,1864690.01,28,7.57,17,Hybrid,Mixed,0,5,2.55,Initiation,Stable,0.32,0.82,1,3.78,High,New,3,Excellent,0.0,1.12,Strong,External,0.18,9.43,0.85,Medium,1.53,2,0.85,0.0,Junior PM,Defined,Low,Excellent,Time & Materials,Medium,Extreme,Occasional,Formal,Basic,Hybrid,Basic,6,1,1.0,Medium
IT,4,574801.77,10,3.82,6,Agile,Senior,3,2,0.49,Closure,Moderate,0.4,0.52,1,5.31,High,Familiar,1,High,0.0,1.15,Moderate,External,0.59,1.5,0.99,Critical,1.1,5,0.84,0.56,Mid-level PM,Managed,Strict,Good,Fixed-Price,Low,High,Strategic,Basic,Basic,Fully Colocated,Good,5,1,1.0,Low
Construction,34,1903201.7,24,5.94,19,Waterfall,Expert,6,3,3.32,Execution,Volatile,0.38,0.95,1,1.86,High,Familiar,4,Medium,0.0,1.02,Moderate,External,0.34,4.37,0.56,Medium,2.02,1,0.7,0.0,Certified PM,Managed,High,Limited,Time & Materials,Medium,Moderate,Strategic,Formal,Unknown,Hybrid,Good,5,8,1.0,Medium
Marketing,8,414264.33,9,4.83,7,Scrum,Expert,2,1,1.07,Planning,Moderate,0.22,0.57,2,4.89,Critical,Expert,3,Medium,0.25,0.9,Weak,Mixed,0.53,6.83,0.49,High,0.61,4,0.61,0.0,Certified PM,Optimizing,Medium,Limited,Fixed-Price,Medium,High,First-time,Basic,Formal,Partially Colocated,Excellent,9,1,1.0,Low
Marketing,2,324034.31,4,1.78,8,Waterfall,Mixed,0,2,2.91,Initiation,Moderate,0.09,0.65,0,3.87,Medium,New,5,High,0.1,0.78,Weak,External,0.9,9.03,0.38,Low,0.78,2,0.92,0.0,Senior PM,Defined,High,Good,Time & Materials,Medium,Stable,Regular,Basic,Formal,Hybrid,Good,3,1,1.0,Medium
IT,5,712631.29,9,4.92,7,Agile,Expert,2,4,1.2,Closure,Moderate,0.16,0.84,0,2.26,Low,Expert,4,Medium,0.27,1.28,Strong,Government,0.21,1.41,0.98,High,0.32,3,0.85,0.48,Senior PM,Optimizing,High,Poor,Cost-Plus,Medium,Moderate,Regular,Formal,Formal,Fully Colocated,Poor,11,3,1.1,Low
Manufacturing,7,582955.84,5,1.72,6,Agile,Mixed,1,2,1.47,Monitoring,Volatile,0.71,0.71,1,2.19,Medium,Familiar,5,High,0.0,0.78,Moderate,External,0.47,8.16,0.88,Low,1.95,2,0.88,0.0,Mid-level PM,Defined,Medium,Excellent,Fixed-Price,Medium,Stable,Regular,Unknown,Basic,Partially Colocated,Poor,9,1,1.0,Medium
Manufacturing,11,597081.72,16,6.95,10,Hybrid,Mixed,3,3,1.06,Planning,Volatile,0.3,0.6,1,5.04,Low,New,3,Low,0.08,0.68,Moderate,Internal,0.04,2.63,0.46,High,4.69,4,0.72,0.0,Mid-level PM,Managed,Medium,Moderate,Time & Materials,Low,Moderate,First-time,Formal,Unknown,Partially Colocated,Good,5,7,1.0,High
IT,11,899068.37,21,9.24,9,Kanban,Junior,0,6,0.61,Planning,Stable,0.5,0.97,1,3.14,High,Familiar,4,Medium,0.09,1.1,Moderate,Mixed,0.58,8.75,0.37,Low,4.12,1,0.84,0.31,Junior PM,Managed,High,Limited,Time & Materials,Low,High,First-time,Advanced,Formal,Fully Remote,Basic,4,2,1.0,High
Manufacturing,12,756024.07,16,5.1,6,Hybrid,Mixed,1,4,2.12,Planning,Moderate,0.47,0.65,0,2.6,Medium,New,2,High,0.0,1.13,Moderate,Mixed,0.71,3.9,0.89,Low,1.44,3,0.82,0.0,Mid-level PM,Defined,Low,Excellent,Fixed-Price,Medium,Moderate,Regular,Formal,Basic,Partially Colocated,Good,5,7,1.0,Medium
IT,13,879748.49,13,5.91,12,Scrum,Mixed,2,3,2.98,Monitoring,Stable,0.4,0.43,1,2.64,High,Expert,4,Excellent,0.12,0.62,Strong,Mixed,0.55,1.94,0.5,Low,2.55,5,0.94,0.84,Certified PM,Optimizing,Strict,Excellent,Time & Materials,Medium,Moderate,Regular,Formal,Formal,Partially Colocated,Poor,8,3,1.0,Low
IT,14,1177817.56,19,7.05,8,Agile,Junior,0,4,2.45,Monitoring,Volatile,0.26,0.59,2,5.23,High,New,4,Low,0.0,1.0,Moderate,Internal,0.26,6.69,0.94,High,2.35,3,0.91,0.92,Senior PM,Managed,High,Good,Hybrid,Low,High,Strategic,Unknown,Formal,Fully Colocated,Basic,5,4,1.0,High
IT,16,1162689.44,20,8.54,8,Kanban,Senior,1,6,1.43,Closure,Moderate,0.4,0.63,2,2.66,Medium,New,2,Medium,0.06,0.7,Moderate,Mixed,0.68,3.07,0.66,Medium,1.06,4,0.91,0.09,Certified PM,Optimizing,High,Limited,Fixed-Price,Low,Moderate,Regular,Advanced,Advanced,Fully Remote,Good,6,9,1.0,Low
IT,5,731260.75,9,3.65,5,Scrum,Mixed,1,0,1.97,Execution,Moderate,0.4,0.85,5,0.59,Critical,New,1,High,0.01,1.04,Strong,Government,0.1,4.95,0.98,High,0.08,7,0.68,0.89,Junior PM,Defined,High,Limited,Hybrid,Low,Stable,Occasional,Basic,Basic,Fully Colocated,Good,8,1,1.0,High
Marketing,2,344686.32,6,2.27,5,Agile,Expert,3,3,2.96,Monitoring,Stable,0.17,0.76,0,4.21,High,Familiar,4,Low,0.0,1.24,Strong,External,0.6,1.2,0.53,Low,0.14,0,0.58,0.0,Senior PM,Defined,High,Good,Cost-Plus,Low,Moderate,First-time,Unknown,Basic,Partially Colocated,Good,8,2,1.0,Medium
Marketing,7,525309.02,10,4.46,10,Hybrid,Mixed,0,2,3.34,Execution,Moderate,0.24,0.92,2,1.71,Low,New,4,Poor,0.1,1.19,Moderate,Internal,0.64,8.15,0.93,Low,2.0,6,0.66,0.0,Mid-level PM,Defined,Medium,Moderate,Time & Materials,High,Extreme,First-time,Basic,Basic,Hybrid,Excellent,12,4,1.1,Critical
IT,13,839041.08,13,6.08,10,Scrum,Senior,3,5,0.98,Monitoring,Volatile,0.08,0.82,0,4.87,High,Familiar,3,Low,0.14,0.74,Moderate,External,0.04,3.28,0.35,High,0.99,3,0.59,0.37,Senior PM,Managed,Strict,Moderate,Fixed-Price,Medium,Moderate,Occasional,Formal,Basic,Partially Colocated,Good,3,1,1.0,High
R&D,26,2387571.06,26,9.99,22,Agile,Senior,1,6,0.73,Execution,Stable,0.2,0.89,1,3.07,High,New,5,Excellent,0.0,1.1,Moderate,Mixed,0.92,7.41,0.5,Critical,3.49,0,0.83,0.0,Senior PM,Ad-hoc,Medium,Limited,Cost-Plus,High,High,Regular,Formal,Unknown,Fully Remote,Basic,1,4,1.0,High
IT,11,710059.12,10,4.14,8,Scrum,Senior,6,3,2.11,Execution,Moderate,0.08,0.57,1,3.83,High,Familiar,5,High,0.03,1.09,Moderate,External,0.39,6.28,0.58,High,2.0,6,0.84,0.14,Mid-level PM,Defined,High,Good,Fixed-Price,Medium,Moderate,Regular,Unknown,Unknown,Hybrid,Good,9,4,1.0,Medium
R&D,17,1793939.24,23,8.63,13,Agile,Mixed,1,5,2.93,Initiation,Moderate,0.47,0.79,3,1.79,Low,New,3,Medium,0.0,0.76,Moderate,External,0.79,5.03,0.97,High,0.38,0,0.9,0.0,Mid-level PM,Defined,Medium,Limited,Fixed-Price,Medium,High,Regular,Basic,Basic,Hybrid,Good,11,10,1.0,High
IT,12,1137355.37,24,8.18,12,Kanban,Junior,1,3,0.53,Monitoring,Moderate,0.69,0.78,5,4.89,Medium,Expert,1,Excellent,0.0,0.79,Strong,Internal,0.41,5.12,0.79,Medium,0.77,2,0.93,0.82,Certified PM,Managed,Medium,Excellent,Time & Materials,Low,High,Regular,Formal,Formal,Partially Colocated,Good,10,3,1.1,Low
Healthcare,11,844231.77,17,5.64,12,Kanban,Senior,5,4,0.92,Planning,Moderate,0.44,0.8,4,3.51,Low,Expert,2,Poor,0.0,1.1,Moderate,Government,0.24,1.37,0.48,High,2.25,5,0.92,0.0,Senior PM,Defined,Medium,Good,Fixed-Price,Low,Moderate,Regular,Basic,Basic,Partially Colocated,Poor,3,2,1.0,Medium
Healthcare,20,1317695.02,22,7.59,10,Hybrid,Senior,1,2,2.87,Monitoring,Volatile,0.19,0.74,0,5.39,Critical,Familiar,3,Excellent,0.0,0.93,Weak,External,0.38,3.62,0.84,High,0.28,3,0.69,0.0,Mid-level PM,Optimizing,Strict,Excellent,Fixed-Price,Medium,High,Regular,Formal,Advanced,Fully Colocated,Basic,11,4,1.0,Low
Construction,50,2877966.42,34,6.96,21,Waterfall,Mixed,0,2,0.93,Monitoring,Stable,0.38,0.79,1,4.39,Critical,Familiar,4,Poor,0.0,1.21,Moderate,Mixed,0.58,6.96,0.51,Medium,1.27,2,0.84,0.0,Mid-level PM,Optimizing,Low,Poor,Time & Materials,High,Extreme,Strategic,Advanced,Advanced,Fully Remote,Poor,12,8,1.0,Medium
Healthcare,5,356654.06,7,1.63,4,Waterfall,Mixed,0,0,2.41,Monitoring,Moderate,0.4,0.59,3,4.41,High,New,3,Excellent,0.0,1.02,Moderate,External,0.36,8.57,0.73,Low,1.59,4,0.73,0.0,Mid-level PM,Managed,Strict,Limited,Fixed-Price,Medium,Stable,First-time,Formal,Formal,Partially Colocated,Poor,5,2,1.0,High
Construction,15,1122670.77,17,6.26,12,Hybrid,Junior,1,5,0.87,Monitoring,Volatile,0.11,0.78,0,4.24,Low,Familiar,1,Low,0.0,1.14,Strong,Internal,0.49,1.66,0.76,High,0.84,6,0.87,0.0,Mid-level PM,Defined,Strict,Limited,Cost-Plus,Low,Moderate,First-time,Formal,Basic,Fully Remote,Poor,5,5,1.0,High
Marketing,8,661441.41,12,4.88,10,Agile,Senior,3,4,0.8,Planning,Stable,0.22,0.53,1,1.21,High,Familiar,3,Medium,0.02,0.63,Strong,Mixed,0.05,8.54,0.93,High,2.67,5,0.48,0.0,Senior PM,Optimizing,High,Limited,Fixed-Price,High,Stable,Occasional,Basic,Formal,Fully Remote,Poor,4,4,1.0,Medium
IT,11,838005.97,20,9.11,9,Scrum,Mixed,0,6,2.4,Monitoring,Stable,0.19,0.81,0,2.1,Low,Familiar,1,Excellent,0.12,0.72,Moderate,Mixed,0.43,3.98,0.71,Medium,2.39,3,0.76,0.56,Senior PM,Ad-hoc,High,Good,Fixed-Price,High,High,Occasional,Unknown,Unknown,Partially Colocated,Basic,5,4,1.0,High
Marketing,8,792818.71,11,3.07,6,Hybrid,Senior,4,2,0.81,Execution,Moderate,0.44,0.51,2,2.19,High,Familiar,4,Low,0.0,0.97,Strong,Mixed,0.18,6.65,0.71,Critical,0.53,1,0.52,0.0,Mid-level PM,Managed,Medium,Poor,Time & Materials,Low,High,Regular,Formal,Basic,Partially Colocated,Good,2,3,1.0,High
Construction,43,2730764.49,33,7.69,24,Waterfall,Senior,2,5,3.41,Planning,Moderate,0.35,0.83,4,2.76,Low,Expert,3,Medium,0.0,1.27,Strong,External,0.41,5.35,0.95,Medium,2.19,3,0.79,0.0,Senior PM,Managed,Low,Moderate,Fixed-Price,High,High,Strategic,Basic,Basic,Hybrid,Excellent,9,7,1.0,Medium
Healthcare,7,866895.13,13,4.79,6,Agile,Senior,2,3,1.14,Planning,Moderate,0.15,0.84,0,0.88,Critical,Expert,5,High,0.0,1.28,Strong,External,0.28,5.56,0.34,Low,0.27,7,0.72,0.0,Mid-level PM,Optimizing,High,Excellent,Time & Materials,Low,Moderate,Occasional,Advanced,Formal,Partially Colocated,Good,5,5,1.0,Low
Marketing,19,1000506.1,14,4.58,10,Waterfall,Expert,2,2,2.79,Monitoring,Moderate,0.22,0.77,2,5.81,Medium,Expert,4,Poor,0.0,0.99,Weak,External,0.45,5.1,0.68,Low,2.43,2,0.79,0.0,Junior PM,Managed,High,Excellent,Time & Materials,Low,Moderate,Regular,Advanced,Basic,Fully Remote,Excellent,7,2,1.0,Low
IT,9,878597.92,14,5.18,12,Agile,Junior,2,2,0.65,Closure,Moderate,0.18,0.67,0,5.04,Medium,Familiar,3,High,0.0,0.72,Strong,External,0.2,3.89,0.34,High,0.7,4,0.91,0.21,Mid-level PM,Defined,High,Excellent,Fixed-Price,Medium,Stable,Regular,Unknown,Basic,Partially Colocated,Basic,9,3,1.0,Low
Construction,34,2339333.99,26,6.34,19,Waterfall,Expert,7,3,1.53,Initiation,Moderate,0.23,0.72,1,2.53,Medium,Familiar,1,Low,0.0,0.84,Moderate,Internal,0.12,7.73,0.72,High,2.26,7,0.8,0.0,Senior PM,Optimizing,Medium,Good,Hybrid,Medium,Moderate,Strategic,Advanced,Basic,Partially Colocated,Excellent,8,6,1.0,Low
IT,12,944793.02,21,10.0,9,Agile,Expert,3,5,2.0,Monitoring,Stable,0.26,0.93,1,5.86,High,New,4,Excellent,0.16,0.68,Strong,Government,0.1,4.74,0.47,Low,0.99,5,0.77,0.97,Senior PM,Managed,High,Excellent,Hybrid,High,High,Occasional,Formal,Advanced,Hybrid,Basic,6,2,1.0,Low
Healthcare,8,697690.68,10,3.13,6,Kanban,Expert,2,2,2.05,Closure,Moderate,0.2,0.7,1,1.85,Critical,New,1,Low,0.0,1.07,Strong,Government,0.64,4.77,0.32,High,0.81,7,0.66,0.0,Certified PM,Optimizing,Strict,Poor,Cost-Plus,Medium,Moderate,Occasional,Formal,Advanced,Fully Colocated,Good,1,2,1.0,Low
R&D,29,2745689.6,31,10.0,24,Scrum,Senior,0,5,0.16,Planning,Moderate,0.18,0.65,0,2.35,Medium,Familiar,3,Low,0.0,1.16,Moderate,External,0.02,1.66,0.38,Low,1.93,4,0.73,0.0,Certified PM,Managed,High,Moderate,Fixed-Price,High,Extreme,Strategic,Formal,Basic,Hybrid,Good,2,5,1.0,High
Healthcare,18,1132021.75,25,9.28,14,Hybrid,Mixed,0,5,0.55,Initiation,Moderate,0.18,0.71,3,3.47,Critical,Familiar,2,Medium,0.0,1.22,Moderate,External,0.26,2.15,0.87,Critical,2.77,6,0.64,0.0,Junior PM,Defined,Strict,Excellent,Hybrid,Low,Extreme,Regular,Basic,Basic,Hybrid,Basic,9,3,1.0,High
Construction,19,1261242.29,17,4.92,14,Hybrid,Mixed,0,2,0.43,Execution,Stable,0.27,0.51,3,1.1,Low,Familiar,1,Excellent,0.0,1.14,Weak,External,0.72,1.92,0.81,High,4.56,7,0.63,0.0,Mid-level PM,Ad-hoc,Medium,Moderate,Hybrid,Medium,Stable,Occasional,Formal,Unknown,Fully Remote,Good,5,4,1.0,Critical
IT,15,1227525.75,19,6.73,12,Scrum,Mixed,1,2,2.02,Execution,Volatile,0.49,0.67,2,8.31,Critical,Familiar,4,Poor,0.0,1.1,Strong,External,0.45,7.73,0.51,Low,1.43,1,0.76,0.65,Mid-level PM,Managed,Strict,Moderate,Fixed-Price,High,Moderate,Strategic,Formal,Formal,Hybrid,Excellent,4,4,1.0,High
IT,12,903734.25,16,6.42,10,Agile,Junior,0,4,1.23,Execution,Volatile,0.51,0.84,1,8.93,Medium,Familiar,5,Excellent,0.0,0.66,Moderate,Internal,0.25,6.18,0.79,Critical,0.28,7,0.96,0.64,Mid-level PM,Managed,High,Moderate,Time & Materials,Medium,Moderate,Occasional,Basic,Basic,Partially Colocated,Basic,10,1,1.1,High
Construction,18,1261327.03,14,4.13,10,Waterfall,Mixed,0,3,1.47,Monitoring,Volatile,0.46,0.61,2,4.38,Medium,New,3,Low,0.0,0.61,Moderate,Mixed,0.19,3.42,0.87,Medium,1.5,7,0.88,0.0,Junior PM,Defined,Medium,Excellent,Fixed-Price,Medium,Stable,Regular,Basic,Basic,Fully Colocated,Poor,12,3,1.0,High
R&D,20,1493051.25,23,10.0,16,Agile,Mixed,2,6,1.3,Closure,Volatile,0.35,0.39,1,1.69,High,New,1,Poor,0.08,0.73,Moderate,Mixed,0.99,3.43,0.83,Critical,3.67,7,0.86,0.0,Mid-level PM,Managed,High,Limited,Hybrid,Low,Extreme,Occasional,Formal,Basic,Fully Colocated,Basic,3,7,1.0,Critical
R&D,20,1814441.63,28,10.0,15,Scrum,Mixed,0,5,1.53,Execution,Stable,0.59,0.64,1,3.03,Medium,New,1,Low,0.0,0.69,Strong,Internal,0.91,4.19,0.79,Medium,0.51,6,0.52,0.0,Mid-level PM,Managed,High,Poor,Time & Materials,High,Extreme,Regular,Basic,Unknown,Hybrid,Good,8,1,1.0,Critical
Healthcare,12,874381.46,17,7.17,11,Kanban,Senior,0,2,0.04,Planning,Stable,0.17,0.89,2,5.37,Medium,Expert,4,Low,0.05,1.29,Moderate,Government,0.38,1.59,0.82,Medium,0.44,3,0.9,0.0,Mid-level PM,Managed,High,Excellent,Fixed-Price,High,High,Regular,Basic,Advanced,Fully Colocated,Good,6,3,1.0,Low
Construction,20,1279208.01,19,6.02,15,Waterfall,Senior,5,5,0.9,Planning,Moderate,0.35,0.84,1,5.58,Medium,Expert,3,Low,0.0,1.22,Strong,Internal,0.51,8.27,0.7,Low,0.29,3,0.94,0.0,Junior PM,Ad-hoc,Medium,Limited,Hybrid,High,Moderate,First-time,Basic,Basic,Partially Colocated,Basic,4,5,1.0,High
IT,13,1336213.27,22,10.0,12,Scrum,Mixed,2,4,0.56,Closure,Stable,0.69,0.41,0,1.18,Critical,Familiar,4,Medium,0.12,1.29,Moderate,External,0.85,9.82,0.5,High,0.49,2,0.78,0.93,Senior PM,Defined,Medium,Limited,Fixed-Price,Low,High,Regular,Formal,Basic,Hybrid,Poor,7,8,1.0,Critical
Marketing,18,668548.11,17,6.35,11,Waterfall,Mixed,0,2,0.95,Planning,Moderate,0.25,0.47,0,0.71,Medium,Familiar,4,High,0.0,0.65,Moderate,Internal,0.09,9.9,0.46,Critical,1.03,7,0.56,0.0,Junior PM,Defined,Medium,Excellent,Cost-Plus,Low,Moderate,Occasional,Basic,Basic,Partially Colocated,Good,5,4,1.0,Medium
Manufacturing,17,971544.21,20,6.47,7,Waterfall,Mixed,1,4,1.43,Initiation,Moderate,0.52,0.73,2,4.98,High,New,5,Low,0.0,0.96,Moderate,Internal,0.34,5.3,1.0,Low,0.08,2,0.97,0.0,Junior PM,Managed,Low,Moderate,Hybrid,High,High,Occasional,Formal,Formal,Fully Remote,Good,6,7,1.0,High
Marketing,18,798158.8,22,6.58,7,Waterfall,Junior,3,4,1.75,Planning,Moderate,0.11,0.77,2,3.1,Critical,Familiar,3,High,0.0,0.96,Moderate,Government,0.54,6.16,0.7,Critical,0.34,1,0.75,0.0,Junior PM,Ad-hoc,Low,Excellent,Time & Materials,High,Moderate,First-time,Basic,Unknown,Partially Colocated,Basic,10,2,1.1,High
Manufacturing,7,578167.96,6,1.64,8,Agile,Senior,1,0,5.57,Planning,Moderate,0.53,0.69,2,2.07,Medium,Expert,3,Low,0.0,0.71,Weak,Internal,0.99,5.07,0.39,Medium,1.52,6,0.5,0.0,Senior PM,Defined,Low,Poor,Time & Materials,Medium,Stable,Regular,Formal,Basic,Fully Colocated,Poor,11,1,1.0,High
Construction,17,1263596.29,19,5.43,14,Hybrid,Senior,2,1,0.44,Initiation,Moderate,0.13,0.71,1,2.52,Medium,New,2,Poor,0.0,1.05,Moderate,External,0.23,9.62,0.36,High,1.65,7,0.78,0.0,Junior PM,Optimizing,Low,Good,Time & Materials,High,Stable,Occasional,Advanced,Basic,Fully Remote,Good,4,6,1.0,High
Healthcare,7,907955.36,10,3.79,7,Scrum,Mixed,2,3,3.02,Monitoring,Stable,0.52,0.85,0,1.92,Critical,New,3,Poor,0.0,1.05,Strong,Mixed,0.23,1.05,0.72,Medium,0.28,3,0.74,0.0,Mid-level PM,Managed,Strict,Moderate,Hybrid,Low,High,Strategic,Unknown,Formal,Fully Remote,Basic,7,3,1.0,Medium
Construction,37,2473844.29,29,6.33,18,Hybrid,Expert,2,2,2.16,Planning,Volatile,0.12,0.46,0,4.63,Low,Expert,4,High,0.0,0.84,Moderate,Government,0.64,7.76,0.53,Low,0.11,5,0.62,0.0,Mid-level PM,Managed,Medium,Poor,Hybrid,High,Stable,Regular,Advanced,Basic,Hybrid,Poor,1,10,1.0,Medium
Manufacturing,15,849429.5,17,6.83,12,Scrum,Expert,3,3,1.16,Planning,Volatile,0.26,0.51,2,3.33,Low,Familiar,5,Medium,0.0,1.03,Weak,External,0.06,9.69,0.41,Low,0.22,4,0.71,0.0,Senior PM,Managed,Medium,Moderate,Fixed-Price,Low,Moderate,Occasional,Formal,Formal,Hybrid,Basic,5,5,1.0,Medium
IT,12,922514.75,16,7.45,9,Agile,Junior,0,2,1.64,Monitoring,Moderate,0.43,0.41,2,4.06,High,Expert,4,Poor,0.14,0.64,Weak,Mixed,0.86,6.28,0.85,Medium,0.39,2,0.99,0.5,Certified PM,Managed,High,Limited,Hybrid,High,Moderate,Regular,Basic,Basic,Partially Colocated,Basic,8,7,1.0,High
R&D,10,892954.19,14,4.91,12,Scrum,Senior,1,3,5.52,Initiation,Moderate,0.33,0.46,2,6.45,Medium,New,5,Excellent,0.0,1.27,Moderate,External,0.76,6.16,0.32,Critical,1.66,6,0.84,0.0,Senior PM,Defined,Low,Excellent,Fixed-Price,Medium,Stable,First-time,Formal,Basic,Fully Colocated,Basic,2,3,1.0,Medium
IT,14,1001735.22,16,6.6,10,Scrum,Senior,4,3,1.51,Execution,Moderate,0.1,0.77,0,4.71,Low,Familiar,3,Poor,0.03,0.67,Strong,External,0.8,5.53,0.52,Low,0.58,5,0.71,0.99,Senior PM,Defined,Strict,Limited,Cost-Plus,Medium,High,Regular,Formal,Unknown,Hybrid,Good,10,4,1.1,High
Construction,13,990154.58,15,4.15,7,Hybrid,Senior,3,1,1.05,Execution,Volatile,0.12,0.88,1,5.44,Critical,Expert,2,Low,0.0,0.61,Weak,External,0.77,7.17,0.86,High,3.07,4,0.68,0.0,Senior PM,Ad-hoc,High,Poor,Time & Materials,High,Moderate,First-time,Basic,Advanced,Hybrid,Excellent,11,3,1.0,High
Construction,42,2238953.29,34,9.6,19,Waterfall,Senior,3,5,1.01,Execution,Volatile,0.51,0.86,2,2.61,Critical,Expert,2,Excellent,0.0,1.13,Strong,External,0.62,5.51,0.56,Low,0.13,3,0.53,0.0,Senior PM,Managed,Low,Good,Hybrid,High,Extreme,Regular,Basic,Unknown,Hybrid,Good,3,12,1.0,Critical
R&D,22,1719862.75,23,8.26,12,Agile,Mixed,1,5,1.71,Closure,Moderate,0.2,0.7,0,5.3,Low,Familiar,2,Excellent,0.0,0.8,Moderate,Internal,0.2,8.45,0.77,Medium,0.5,2,0.74,0.0,Junior PM,Managed,Strict,Excellent,Cost-Plus,Medium,High,Strategic,Basic,Formal,Hybrid,Basic,2,1,1.0,Low
IT,13,958817.24,12,5.39,9,Agile,Mixed,0,4,0.45,Initiation,Volatile,0.69,0.74,2,2.59,Medium,New,3,Excellent,0.11,0.98,Moderate,Mixed,0.65,2.84,0.79,Low,1.54,0,0.73,0.39,Senior PM,Optimizing,High,Good,Fixed-Price,High,Moderate,Regular,Advanced,Advanced,Hybrid,Good,10,2,1.1,Low
IT,10,863532.47,18,8.09,11,Agile,Mixed,1,6,0.8,Closure,Moderate,0.32,0.75,1,2.59,Low,Familiar,5,High,0.11,1.1,Strong,Internal,0.7,9.24,0.54,Critical,1.63,5,0.65,0.08,Senior PM,Defined,Low,Moderate,Cost-Plus,Medium,Moderate,Occasional,Basic,Basic,Partially Colocated,Poor,8,1,1.0,High
IT,10,643197.19,18,6.62,7,Kanban,Senior,1,5,4.96,Execution,Moderate,0.35,0.67,2,4.3,Medium,Expert,1,Poor,0.0,1.22,Weak,External,0.89,9.93,0.34,Medium,1.61,4,0.67,0.54,Mid-level PM,Managed,Medium,Poor,Fixed-Price,High,Moderate,Occasional,Formal,Basic,Fully Remote,Good,4,1,1.0,Critical
Manufacturing,3,394029.0,6,3.46,9,Agile,Senior,0,1,2.96,Planning,Moderate,0.14,0.94,3,6.3,Critical,Familiar,5,High,0.31,0.83,Weak,Internal,0.28,9.09,0.41,Medium,1.41,2,0.94,0.0,Mid-level PM,Defined,Medium,Good,Time & Materials,Low,Stable,First-time,Basic,Basic,Partially Colocated,Good,10,2,1.0,Medium
Marketing,23,1178775.27,23,8.85,10,Hybrid,Mixed,1,5,2.45,Execution,Volatile,0.47,0.75,4,9.73,High,New,3,Excellent,0.0,0.69,Moderate,Internal,0.38,4.43,0.55,Low,1.26,0,0.68,0.0,Mid-level PM,Managed,Medium,Moderate,Time & Materials,Low,Extreme,Regular,Unknown,Basic,Partially Colocated,Excellent,3,7,1.0,High
Construction,35,2235577.57,29,7.79,15,Hybrid,Senior,2,5,0.6,Execution,Moderate,0.1,0.56,1,2.55,Medium,Expert,1,Excellent,0.0,0.8,Moderate,Mixed,0.76,4.79,0.44,Low,0.53,7,0.82,0.0,Mid-level PM,Defined,Medium,Good,Time & Materials,High,Moderate,Regular,Unknown,Basic,Hybrid,Poor,4,12,1.0,High
R&D,22,1732750.94,24,10.0,12,Scrum,Mixed,2,5,0.89,Initiation,Moderate,0.31,0.72,0,6.23,Medium,Familiar,4,Poor,0.04,0.79,Moderate,Internal,0.73,6.2,0.89,Critical,0.0,7,0.42,0.0,Senior PM,Defined,High,Moderate,Cost-Plus,Medium,Extreme,Occasional,Formal,Formal,Hybrid,Basic,3,6,1.0,Critical
Construction,15,1162690.58,19,5.35,14,Hybrid,Senior,3,1,1.31,Closure,Moderate,0.28,0.7,0,9.59,High,Expert,1,High,0.0,1.02,Moderate,Internal,0.25,6.16,0.92,High,1.03,1,0.9,0.0,Mid-level PM,Defined,Low,Excellent,Hybrid,Medium,Moderate,First-time,Basic,Basic,Hybrid,Basic,1,8,1.0,Low
